Dataset,Oversampler,Classifier,Metric,Mean,Std,CI_Lower,CI_Upper,N_folds,Scores
WineQuality,No_Oversampling,BalancedRF,mcc,0.5885474721730211,0.06168256857189974,0.5301549997134033,0.6360675019526375,5,"[0.596286466316997, 0.617193791632691, 0.6668818930448821, 0.4790982468724428, 0.583276962998092]"
WineQuality,No_Oversampling,BalancedRF,training_time,0.2097226619720459,0.003780927657708205,,,5,"[0.2047255039215088, 0.20627593994140625, 0.21357417106628418, 0.2098686695098877, 0.21416902542114258]"
WineQuality,No_Oversampling,MLP,f1,0.6014572185508911,0.026925007906128368,0.5817450638792102,0.6264822355624589,5,"[0.5714285714285714, 0.6046511627906976, 0.5952380952380952, 0.5853658536585366, 0.6506024096385542]"
WineQuality,No_Oversampling,MLP,roc_auc,0.8736503712370924,0.02955229611712967,0.8442711473733219,0.8964013900194558,5,"[0.8763328016119553, 0.8804466459575183, 0.8841403162055336, 0.8189229249011859, 0.9084091675092686]"
WineQuality,No_Oversampling,MLP,precision,0.615579355365157,0.04349266476547884,0.5722460220318238,0.6509302325581395,5,"[0.5416666666666666, 0.6046511627906976, 0.625, 0.631578947368421, 0.675]"
WineQuality,No_Oversampling,MLP,recall,0.5901691331923891,0.029415776639252166,0.5635940803382665,0.6139534883720931,5,"[0.6046511627906976, 0.6046511627906976, 0.5681818181818182, 0.5454545454545454, 0.627906976744186]"
WineQuality,No_Oversampling,MLP,balanced_accuracy,0.7657877529091752,0.01461713834507087,0.7534647283558592,0.7781479354620551,5,"[0.7626143900596087, 0.7716396608177315, 0.7569169960474309, 0.747364953886693, 0.7904027637344119]"
WineQuality,No_Oversampling,MLP,kappa,0.5402805086750211,0.032364675356417925,0.5151407779629942,0.5678410742024047,5,"[0.5006402048655569, 0.543279321635463, 0.5342465753424658, 0.5248078266946191, 0.5984286148370013]"
WineQuality,No_Oversampling,MLP,mcc,0.5411215142498477,0.032095705975204135,0.5166675480783826,0.5700325312912363,5,"[0.5016693371207025, 0.543279321635463, 0.5350504073943422, 0.5266628588400103, 0.5989456462587203]"
WineQuality,No_Oversampling,MLP,training_time,3.149322843551636,0.2951543065770456,,,5,"[2.5747017860412598, 3.162101984024048, 3.3373544216156006, 3.3377606868743896, 3.334695339202881]"
WineQuality,RandomOver,RandomForest,f1,0.6326259106746912,0.03241419632320304,0.6048780487804878,0.6603737725688946,5,"[0.6097560975609756, 0.6753246753246753, 0.6341463414634146, 0.5853658536585366, 0.6585365853658537]"
WineQuality,RandomOver,RandomForest,roc_auc,0.9170665513958433,0.01896786003633742,0.9001280543940626,0.9309286484277495,5,"[0.9318277222735286, 0.9143228948031232, 0.9241189064558629, 0.8816287878787878, 0.9334344455679138]"
WineQuality,RandomOver,RandomForest,precision,0.682765737874097,0.047264461897832594,0.6458839406207827,0.7254901960784313,5,"[0.6410256410256411, 0.7647058823529411, 0.6842105263157895, 0.631578947368421, 0.6923076923076923]"
WineQuality,RandomOver,RandomForest,recall,0.5900634249471459,0.027242390981555384,0.5644820295983086,0.6131289640591967,5,"[0.5813953488372093, 0.6046511627906976, 0.5909090909090909, 0.5454545454545454, 0.627906976744186]"
WineQuality,RandomOver,RandomForest,balanced_accuracy,0.773321358264396,0.01615711506646513,0.7590813852276586,0.7859910276580289,5,"[0.7654269162958609, 0.7878851481823524, 0.7737154150197629, 0.747364953886693, 0.7922143579373104]"
WineQuality,RandomOver,RandomForest,kappa,0.5796015727098067,0.038114737207872305,0.5469923346217616,0.6102703068949142,5,"[0.5525648868303766, 0.6316080309449255, 0.5807127882599581, 0.5248078266946191, 0.6083143308191545]"
WineQuality,RandomOver,RandomForest,mcc,0.5818730381781261,0.039175468055648144,0.5485906920847701,0.6151553842714819,5,"[0.553431157859233, 0.6372368664703976, 0.5827654270253643, 0.5266628588400103, 0.609268880695625]"
WineQuality,RandomOver,RandomForest,training_time,0.21796116828918458,0.004752107878716308,,,5,"[0.22706222534179688, 0.21361827850341797, 0.2172989845275879, 0.21481871604919434, 0.21700763702392578]"
WineQuality,RandomOver,LogisticRegression,f1,0.5135437653250003,0.01788981089588996,0.49590827338129495,0.5276733296164615,5,"[0.5211267605633803, 0.5223880597014925, 0.5035971223021583, 0.484375, 0.5362318840579711]"
WineQuality,RandomOver,LogisticRegression,roc_auc,0.878650935921435,0.022525370462193904,0.8562058131736598,0.8937533771829254,5,"[0.8815380740491983, 0.8835530182184536, 0.8997859025032938, 0.8355566534914362, 0.8928210313447927]"
WineQuality,RandomOver,LogisticRegression,precision,0.37705902284849657,0.00849768077810005,0.36973494341915397,0.3852631578947368,5,"[0.37373737373737376, 0.38461538461538464, 0.3684210526315789, 0.36904761904761907, 0.3894736842105263]"
WineQuality,RandomOver,LogisticRegression,recall,0.8069767441860465,0.057263630724577685,0.7539112050739958,0.8511627906976743,5,"[0.8604651162790697, 0.813953488372093, 0.7954545454545454, 0.7045454545454546, 0.8604651162790697]"
WineQuality,RandomOver,LogisticRegression,balanced_accuracy,0.7989325723755535,0.024622386920996407,0.7759222661396574,0.8185704603831072,5,"[0.8183192007388129, 0.8058937116950717, 0.7890316205533596, 0.7562582345191041, 0.8251600943714189]"
WineQuality,RandomOver,LogisticRegression,kappa,0.4033106700753467,0.02107126643286884,0.3833901893574083,0.4196561592652041,5,"[0.4107133185289499, 0.4157585439607462, 0.38870431893687707, 0.3708293612964728, 0.4305478076536874]"
WineQuality,RandomOver,LogisticRegression,mcc,0.4509543929843326,0.029681307563171867,0.4218815285892448,0.47610422932948876,5,"[0.46973531237921895, 0.4625260735822497, 0.43571566202271295, 0.4011373121825879, 0.4856576047548936]"
WineQuality,RandomOver,LogisticRegression,training_time,0.019975614547729493,0.0006403722852246708,,,5,"[0.020485639572143555, 0.0198824405670166, 0.01897883415222168, 0.02082228660583496, 0.019708871841430664]"
WineQuality,RandomOver,SVM,f1,0.5473827794830731,0.04358519297714273,0.5037288135593221,0.5791176181102362,5,"[0.5625, 0.55, 0.559322033898305, 0.4666666666666667, 0.5984251968503937]"
WineQuality,RandomOver,SVM,roc_auc,0.888000749464988,0.027586744182419097,0.8610325079332343,0.9092438882183839,5,"[0.9092435563764587, 0.8754092855343799, 0.9117259552042161, 0.8393445322793149, 0.9042804179305696]"
WineQuality,RandomOver,SVM,precision,0.4237697582589224,0.02965460081764105,0.39595610648242224,0.4440366416837006,5,"[0.4235294117647059, 0.42857142857142855, 0.44594594594594594, 0.3684210526315789, 0.4523809523809524]"
WineQuality,RandomOver,SVM,recall,0.7749471458773785,0.0843710741833003,0.7027484143763213,0.8383720930232558,5,"[0.8372093023255814, 0.7674418604651163, 0.75, 0.6363636363636364, 0.8837209302325582]"
WineQuality,RandomOver,SVM,balanced_accuracy,0.8049865222402117,0.04233085188620032,0.764911504948482,0.836333361318669,5,"[0.8301569977331879, 0.804298547561078, 0.8007246376811594, 0.7312252964426877, 0.8585271317829457]"
WineQuality,RandomOver,SVM,kappa,0.45132806554403704,0.05210715961442406,0.3994402449043464,0.4915107010273063,5,"[0.4674591381872214, 0.45622757882812015, 0.4674859190988223, 0.3541876892028254, 0.5112800024031963]"
WineQuality,RandomOver,SVM,mcc,0.48338762516207706,0.05992425750598858,0.4236349800339981,0.5289859631053149,5,"[0.5098955486718298, 0.4855740711091462, 0.4912431096223071, 0.37423509346300465, 0.5559903029440973]"
WineQuality,RandomOver,SVM,training_time,0.4010767459869385,0.009884775552377302,,,5,"[0.40610218048095703, 0.4043550491333008, 0.4059154987335205, 0.38141417503356934, 0.4075968265533447]"
WineQuality,RandomOver,BalancedRF,f1,0.6326259106746912,0.03241419632320304,0.6048780487804878,0.6603737725688946,5,"[0.6097560975609756, 0.6753246753246753, 0.6341463414634146, 0.5853658536585366, 0.6585365853658537]"
WineQuality,RandomOver,BalancedRF,roc_auc,0.9170665513958433,0.01896786003633742,0.8982073961426031,0.9312499930866265,5,"[0.9318277222735286, 0.9143228948031232, 0.9241189064558629, 0.8816287878787878, 0.9334344455679138]"
WineQuality,RandomOver,BalancedRF,precision,0.682765737874097,0.047264461897832594,0.6458839406207828,0.723607604985314,5,"[0.6410256410256411, 0.7647058823529411, 0.6842105263157895, 0.631578947368421, 0.6923076923076923]"
WineQuality,RandomOver,BalancedRF,recall,0.5900634249471459,0.027242390981555384,0.5663847780126849,0.611416490486258,5,"[0.5813953488372093, 0.6046511627906976, 0.5909090909090909, 0.5454545454545454, 0.627906976744186]"
WineQuality,RandomOver,BalancedRF,balanced_accuracy,0.773321358264396,0.01615711506646513,0.7590813852276584,0.7867828854518176,5,"[0.7654269162958609, 0.7878851481823524, 0.7737154150197629, 0.747364953886693, 0.7922143579373104]"
WineQuality,RandomOver,BalancedRF,kappa,0.5796015727098067,0.038114737207872305,0.5470605395466777,0.6121115023576236,5,"[0.5525648868303766, 0.6316080309449255, 0.5807127882599581, 0.5248078266946191, 0.6083143308191545]"
WineQuality,RandomOver,BalancedRF,mcc,0.5818730381781261,0.039175468055648144,0.5485906920847701,0.6151553842714819,5,"[0.553431157859233, 0.6372368664703976, 0.5827654270253643, 0.5266628588400103, 0.609268880695625]"
WineQuality,RandomOver,BalancedRF,training_time,0.21927738189697266,0.0037197148050466425,,,5,"[0.2155168056488037, 0.21458840370178223, 0.22141027450561523, 0.224503755569458, 0.2203676700592041]"
WineQuality,RandomOver,MLP,f1,0.5932014285662852,0.030703327805538708,0.5633115595972163,0.6166520192216223,5,"[0.6021505376344086, 0.5934065934065934, 0.6292134831460674, 0.5365853658536586, 0.6046511627906976]"
WineQuality,RandomOver,MLP,roc_auc,0.880552918334034,0.029933597268444252,0.8522654748674541,0.9018968829009489,5,"[0.8770044496683737, 0.8880866425992779, 0.8898221343873518, 0.8278985507246377, 0.9199528142905291]"
WineQuality,RandomOver,MLP,precision,0.5856641506867944,0.024237742859200457,0.5642894736842106,0.6065388276893785,5,"[0.56, 0.5625, 0.6222222222222222, 0.5789473684210527, 0.6046511627906976]"
WineQuality,RandomOver,MLP,recall,0.6040169133192389,0.05414739126642306,0.5482029598308669,0.6405919661733616,5,"[0.6511627906976745, 0.627906976744186, 0.6363636363636364, 0.5, 0.6046511627906976]"
WineQuality,RandomOver,MLP,balanced_accuracy,0.7683690489266628,0.024410155148180016,0.7430276361273649,0.7845114385358516,5,"[0.7858702040130972, 0.7760473511879775, 0.7873847167325427, 0.7210144927536232, 0.7715284799460734]"
WineQuality,RandomOver,MLP,kappa,0.5284992355439883,0.03309884273636297,0.4952027909535648,0.5554597668189004,5,"[0.5349567949725058, 0.5262483994878361, 0.5693311582381729, 0.46890286512928026, 0.5430569598921469]"
WineQuality,RandomOver,MLP,mcc,0.5294732859362143,0.032587154910954215,0.4964136009270333,0.5545016950005504,5,"[0.537039358420976, 0.5273301727790505, 0.5693796479342417, 0.4705602906546563, 0.543056959892147]"
WineQuality,RandomOver,MLP,training_time,4.626936054229736,0.2566058302924783,,,5,"[4.938548803329468, 4.698699235916138, 4.470234632492065, 4.8108649253845215, 4.216332674026489]"
WineQuality,SMOTE,RandomForest,f1,0.608622868903116,0.05766178513989414,0.5526183224662549,0.6544165646674827,5,"[0.631578947368421, 0.6744186046511628, 0.5806451612903226, 0.5106382978723404, 0.6458333333333334]"
WineQuality,SMOTE,RandomForest,roc_auc,0.9185123382699244,0.01993504470910475,0.8987098974564207,0.9306183119334006,5,"[0.9312400302241626, 0.9244815716564521, 0.933012187088274, 0.8792407773386035, 0.9245871250421301]"
WineQuality,SMOTE,RandomForest,precision,0.5734535500229727,0.06256827082499085,0.5186796303427031,0.630239859807966,5,"[0.5769230769230769, 0.6744186046511628, 0.5510204081632653, 0.48, 0.5849056603773585]"
WineQuality,SMOTE,RandomForest,recall,0.6504228329809725,0.06348446819530987,0.5895348837209302,0.7023255813953487,5,"[0.6976744186046512, 0.6744186046511628, 0.6136363636363636, 0.5454545454545454, 0.7209302325581395]"
WineQuality,SMOTE,RandomForest,balanced_accuracy,0.7868527077582099,0.03580302993311559,0.7511558247825965,0.8142821335533226,5,"[0.8091260179665856, 0.8119385442028377, 0.7669631093544137, 0.7256258234519104, 0.8206100438153017]"
WineQuality,SMOTE,RandomForest,kappa,0.5424387008626559,0.06849829286449868,0.47477288263786344,0.5967187074477339,5,"[0.5680345572354212, 0.6238770884056755, 0.5095881798176674, 0.426791277258567, 0.5839024015959488]"
WineQuality,SMOTE,RandomForest,mcc,0.5444721958023837,0.06881611217643371,0.4775547083234139,0.5958444070633041,5,"[0.5715715434839276, 0.6238770884056755, 0.5105983904470673, 0.42798918513793366, 0.588324771537314]"
WineQuality,SMOTE,RandomForest,training_time,0.22813162803649903,0.004385224785240067,,,5,"[0.2271099090576172, 0.22684216499328613, 0.23384785652160645, 0.22118639945983887, 0.23167181015014648]"
WineQuality,SMOTE,LogisticRegression,f1,0.5157418065297646,0.01548760461954542,0.5004187735499112,0.5281768104018745,5,"[0.5174825174825175, 0.5147058823529411, 0.5217391304347826, 0.48854961832061067, 0.5362318840579711]"
WineQuality,SMOTE,LogisticRegression,roc_auc,0.875122104001693,0.023082904984749665,0.8516038777498773,0.8940806944433844,5,"[0.8765007136260599, 0.8799429099152045, 0.9046442687747036, 0.833498023715415, 0.8810246039770813]"
WineQuality,SMOTE,LogisticRegression,precision,0.377322517118062,0.008057198458713234,0.37039525398591033,0.38424978025021367,5,"[0.37, 0.3763440860215054, 0.3829787234042553, 0.367816091954023, 0.3894736842105263]"
WineQuality,SMOTE,LogisticRegression,recall,0.8160676532769555,0.04865336106094722,0.771247357293869,0.8520084566596193,5,"[0.8604651162790697, 0.813953488372093, 0.8181818181818182, 0.7272727272727273, 0.8604651162790697]"
WineQuality,SMOTE,LogisticRegression,balanced_accuracy,0.8023949944300333,0.02095005969128377,0.7800065876152833,0.8174733854480015,5,"[0.8165141465871883, 0.8022836033918227, 0.8040184453227932, 0.7639986824769434, 0.8251600943714189]"
WineQuality,SMOTE,LogisticRegression,kappa,0.4055144431475248,0.018104211038567145,0.3891347548191,0.42065376532418225,5,"[0.4058127018299247, 0.40543888294578, 0.4115024520731164, 0.37427037123511553, 0.4305478076536874]"
WineQuality,SMOTE,LogisticRegression,mcc,0.45478955627568807,0.02539810643425494,0.43030422169881855,0.47528225136079616,5,"[0.46578542321422484, 0.45411337746959923, 0.45971922126965015, 0.4086721546700726, 0.4856576047548936]"
WineQuality,SMOTE,LogisticRegression,training_time,0.021538782119750976,0.0011812598810924824,,,5,"[0.021820068359375, 0.02255082130432129, 0.02060866355895996, 0.019785165786743164, 0.02292919158935547]"
WineQuality,SMOTE,SVM,f1,0.5274778397159287,0.042226002234445635,0.48561768761955604,0.5536029639059132,5,"[0.5354330708661418, 0.559322033898305, 0.5470085470085471, 0.4444444444444444, 0.5511811023622047]"
WineQuality,SMOTE,SVM,roc_auc,0.8811340509746806,0.025179699572241573,0.8576834665512741,0.9013531711754583,5,"[0.896650155318613, 0.8592897321803374, 0.9068675889328064, 0.8431324110671937, 0.8997303673744523]"
WineQuality,SMOTE,SVM,precision,0.41118982387475533,0.03055208450416595,0.3823222439660795,0.434675799086758,5,"[0.40476190476190477, 0.44, 0.4383561643835616, 0.3561643835616438, 0.4166666666666667]"
WineQuality,SMOTE,SVM,recall,0.7380549682875265,0.07894757151737918,0.6627906976744186,0.7953488372093023,5,"[0.7906976744186046, 0.7674418604651163, 0.7272727272727273, 0.5909090909090909, 0.813953488372093]"
WineQuality,SMOTE,SVM,balanced_accuracy,0.7861768065944512,0.0390441316168869,0.7487867278494685,0.8114661395689527,5,"[0.8050961296280749, 0.8079086558643271, 0.7893610013175231, 0.7103096179183136, 0.8182086282440175]"
WineQuality,SMOTE,SVM,kappa,0.4279777939150957,0.05043383577157029,0.37833535110143857,0.4595696547410703,5,"[0.4350011970313623, 0.4685404024273395, 0.45318545266958987, 0.32937838534949704, 0.45378353209768985]"
WineQuality,SMOTE,SVM,mcc,0.45647781157217127,0.05641429926251176,0.4007965686715093,0.49069749587410616,5,"[0.47298259729327996, 0.4958066323496362, 0.4749424266250151, 0.3451915075698032, 0.49346589402312185]"
WineQuality,SMOTE,SVM,training_time,0.37447524070739746,0.018352949316658394,,,5,"[0.3947751522064209, 0.3839108943939209, 0.3702547550201416, 0.34122729301452637, 0.38220810890197754]"
WineQuality,SMOTE,BalancedRF,f1,0.608622868903116,0.05766178513989414,0.5526183224662549,0.6544165646674827,5,"[0.631578947368421, 0.6744186046511628, 0.5806451612903226, 0.5106382978723404, 0.6458333333333334]"
WineQuality,SMOTE,BalancedRF,roc_auc,0.9185123382699244,0.01993504470910475,0.898688786779285,0.9309516326290874,5,"[0.9312400302241626, 0.9244815716564521, 0.933012187088274, 0.8792407773386035, 0.9245871250421301]"
WineQuality,SMOTE,BalancedRF,precision,0.5734535500229727,0.06256827082499085,0.521922351233672,0.63192597692535,5,"[0.5769230769230769, 0.6744186046511628, 0.5510204081632653, 0.48, 0.5849056603773585]"
WineQuality,SMOTE,BalancedRF,recall,0.6504228329809725,0.06348446819530987,0.5895348837209302,0.7023255813953488,5,"[0.6976744186046512, 0.6744186046511628, 0.6136363636363636, 0.5454545454545454, 0.7209302325581395]"
WineQuality,SMOTE,BalancedRF,balanced_accuracy,0.7868527077582099,0.03580302993311559,0.7511558247825965,0.8148446388005729,5,"[0.8091260179665856, 0.8119385442028377, 0.7669631093544137, 0.7256258234519104, 0.8206100438153017]"
WineQuality,SMOTE,BalancedRF,kappa,0.5424387008626559,0.06849829286449868,0.4827678199998087,0.5967187074477339,5,"[0.5680345572354212, 0.6238770884056755, 0.5095881798176674, 0.426791277258567, 0.5839024015959488]"
WineQuality,SMOTE,BalancedRF,mcc,0.5444721958023837,0.06881611217643371,0.4835352593900615,0.6012213488139538,5,"[0.5715715434839276, 0.6238770884056755, 0.5105983904470673, 0.42798918513793366, 0.588324771537314]"
WineQuality,SMOTE,BalancedRF,training_time,0.22439103126525878,0.0030387613091590274,,,5,"[0.22832584381103516, 0.22461700439453125, 0.22704458236694336, 0.2205493450164795, 0.2214183807373047]"
WineQuality,SMOTE,MLP,f1,0.5999223959958728,0.04323728551814947,0.5607784084327581,0.635597878444756,5,"[0.5567010309278351, 0.6292134831460674, 0.6464646464646465, 0.5393258426966292, 0.627906976744186]"
WineQuality,SMOTE,MLP,roc_auc,0.8734519007297094,0.033598434675606484,0.8407897757622436,0.8973131917314062,5,"[0.8744857694568046, 0.8765846696331122, 0.8954216073781291, 0.8113471673254282, 0.9094202898550724]"
WineQuality,SMOTE,MLP,precision,0.570350828813923,0.04740056943637876,0.5296969696969697,0.6094714587737844,5,"[0.5, 0.6086956521739131, 0.5818181818181818, 0.5333333333333333, 0.627906976744186]"
WineQuality,SMOTE,MLP,recall,0.6359408033826638,0.05812069654439267,0.5830866807610994,0.6875264270613108,5,"[0.627906976744186, 0.6511627906976745, 0.7272727272727273, 0.5454545454545454, 0.627906976744186]"
WineQuality,SMOTE,MLP,balanced_accuracy,0.7799857838919284,0.029084666742889412,0.7521086325469012,0.8071690106321047,5,"[0.7652170262782302, 0.7930904206195953, 0.821969696969697, 0.7346837944664031, 0.7849679811257162]"
WineQuality,SMOTE,MLP,kappa,0.53313704407642,0.0504818112567438,0.4886849258307211,0.5749396132811295,5,"[0.47870889528716465, 0.5694014027075518, 0.5827123695976155, 0.46492659053833607, 0.5699359622514324]"
WineQuality,SMOTE,MLP,mcc,0.5351105009234999,0.050650172484010596,0.4930528840612387,0.5770576930111478,5,"[0.48302300007935556, 0.5698381677382626, 0.5877891864073059, 0.4649661881411429, 0.5699359622514324]"
WineQuality,SMOTE,MLP,training_time,4.789668893814087,0.7733699178040384,,,5,"[5.335047721862793, 3.518867015838623, 5.493550539016724, 5.3400914669036865, 4.260787725448608]"
WineQuality,BorderlineSMOTE,RandomForest,f1,0.609214985467346,0.02423751557480182,0.5879694047223146,0.6297175321566499,5,"[0.6185567010309279, 0.6352941176470588, 0.58, 0.5806451612903226, 0.631578947368421]"
WineQuality,BorderlineSMOTE,RandomForest,roc_auc,0.9177393733430719,0.014115916682200674,0.9047378336794998,0.9280549581940012,5,"[0.9297708001007472, 0.9186466291663168, 0.9175312911725956, 0.8917572463768115, 0.9309908998988878]"
WineQuality,BorderlineSMOTE,RandomForest,precision,0.5688426652712367,0.041562337695647135,0.5363029827315542,0.6113029827315541,5,"[0.5555555555555556, 0.6428571428571429, 0.5178571428571429, 0.5510204081632653, 0.5769230769230769]"
WineQuality,BorderlineSMOTE,RandomForest,recall,0.6591966173361523,0.03468680406354217,0.6304439746300212,0.6899577167019026,5,"[0.6976744186046512, 0.627906976744186, 0.6590909090909091, 0.6136363636363636, 0.6976744186046512]"
WineQuality,BorderlineSMOTE,RandomForest,balanced_accuracy,0.7897942486042451,0.015678343426750924,0.7753669148512424,0.8026328414385171,5,"[0.8055159096633364, 0.7868776760977247, 0.7806324110671936, 0.7669631093544137, 0.8089821368385575]"
